ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	64.75686659291274	64.75686659291274	64.75686659291274	64.75686659291274
1	64.84180132563583	64.78366379257605	64.81273255910591	64.84180132563583
2	64.89143519950841	64.81165097216301	64.8538108966959	64.89199659582492
3	64.94635309581098	64.83660060721047	64.8953234518048	64.94691451976993
4	64.98358693977852	64.85666178537318	64.92565191373903	64.98376557505517
5	65.00593897973506	64.86984481213798	64.94610782801256	65.01006503556525
6	65.03313721370051	64.88314564317827	64.9646559908102	65.03313721370051
7	65.0434418130085	64.89177400633979	64.97561838443465	65.0442485132065
8	65.05962366496311	64.89351110119436	64.98594634490536	65.06089960576581
9	65.0833471487777	64.91171106319132	65.00921443880488	65.08498042435058
10	65.0866398879971	64.91592263882357	65.01554492675089	65.09045249606102
