Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:17:14	15:17:14	15:17:14			15:17:14	15:17:14	15:17:14	15:17:14	15:17:14	15:17:14	15:17:14	15:17:15	15:17:15	15:17:15	15:17:15	15:17:15	15:17:15			15:17:18	15:17:18		00:00:00		00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:02	00:00:03
1	15:17:18	15:17:18	15:17:18	15:17:18	15:17:18	15:17:18	15:17:18	15:17:18	15:17:18	15:17:18	15:17:18	15:17:18	15:17:19	15:17:19	15:17:19	15:17:19	15:17:19	15:17:19			15:17:20	15:17:20		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
2	15:17:20	15:17:20	15:17:20	15:17:20	15:17:20	15:17:20			15:17:20	15:17:20	15:17:20	15:17:20	15:17:22	15:17:22	15:17:22	15:17:22	15:17:22	15:17:22			15:17:22	15:17:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
3	15:17:22	15:17:22	15:17:22	15:17:22	15:17:22	15:17:22			15:17:22	15:17:22	15:17:22	15:17:22	15:17:23	15:17:23	15:17:23	15:17:23	15:17:23	15:17:23			15:17:24	15:17:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
4	15:17:24	15:17:24	15:17:24	15:17:24	15:17:24	15:17:24			15:17:24	15:17:24	15:17:24	15:17:24	15:17:25	15:17:25	15:17:25	15:17:25	15:17:25	15:17:25			15:17:25	15:17:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
5	15:17:25	15:17:25	15:17:25	15:17:25	15:17:25	15:17:25			15:17:25	15:17:25	15:17:25	15:17:25	15:17:26	15:17:26	15:17:26	15:17:26	15:17:26	15:17:26			15:17:27	15:17:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	15:17:27	15:17:27	15:17:27	15:17:27	15:17:27	15:17:27			15:17:27	15:17:27	15:17:27	15:17:27	15:17:28	15:17:28	15:17:28	15:17:28	15:17:28	15:17:28			15:17:28	15:17:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
7	15:17:28	15:17:28	15:17:28	15:17:28	15:17:28	15:17:28			15:17:28	15:17:28	15:17:28	15:17:28	15:17:29	15:17:29	15:17:29	15:17:29	15:17:29	15:17:29			15:17:30	15:17:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	15:17:30	15:17:30	15:17:30	15:17:30	15:17:30	15:17:30			15:17:30	15:17:30	15:17:30	15:17:30	15:17:31	15:17:31	15:17:31	15:17:31	15:17:31	15:17:31			15:17:31	15:17:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	15:17:31	15:17:31	15:17:31	15:17:31	15:17:31	15:17:31			15:17:31	15:17:31	15:17:31	15:17:31	15:17:32	15:17:32	15:17:32	15:17:32	15:17:32	15:17:32			15:17:33	15:17:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	15:17:33	15:17:33	15:17:33	15:17:33	15:17:33	15:17:33	15:17:33	15:17:33	15:17:33	15:17:33	15:17:33	15:17:33	15:17:34	15:17:34	15:17:34	15:17:34	15:17:34	15:17:34	15:17:34	15:17:34	15:17:34	15:17:34		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
